time ;p 555010000;p 555020000;p 555030000;p 555040000;p 555050000;p 555060000;p 555070000;p 555080000;p 555090000;p 555100000;p 555110000;p 555120000;p 555130000;p 555140000;p 555150000;p 555160000;p 555170000;p 555180000;p 555190000;p 555200000;p 555210000;p 555220000;p 555230000;p 555240000;p 555250000;p 555260000;p 555270000;p 555280000;p 555290000;p 555300000;p 555310000;p 555320000;p 555330000;p 555340000;p 555350000;p 555360000;p 555370000;p 555380000;p 555390000;p 555400000;p 555410000;p 555420000;p 555430000;p 555440000;p 555450000;p 555460000;p 555470000;p 555480000;p 555490000;p 555500000;tempf 555010000;tempf 555020000;tempf 555030000;tempf 555040000;tempf 555050000;tempf 555060000;tempf 555070000;tempf 555080000;tempf 555090000;tempf 555100000;tempf 555110000;tempf 555120000;tempf 555130000;tempf 555140000;tempf 555150000;tempf 555160000;tempf 555170000;tempf 555180000;tempf 555190000;tempf 555200000;tempf 555210000;tempf 555220000;tempf 555230000;tempf 555240000;tempf 555250000;tempf 555260000;tempf 555270000;tempf 555280000;tempf 555290000;tempf 555300000;tempf 555310000;tempf 555320000;tempf 555330000;tempf 555340000;tempf 555350000;tempf 555360000;tempf 555370000;tempf 555380000;tempf 555390000;tempf 555400000;tempf 555410000;tempf 555420000;tempf 555430000;tempf 555440000;tempf 555450000;tempf 555460000;tempf 555470000;tempf 555480000;tempf 555490000;tempf 555500000;rho 555010000;rho 555020000;rho 555030000;rho 555040000;rho 555050000;rho 555060000;rho 555070000;rho 555080000;rho 555090000;rho 555100000;rho 555110000;rho 555120000;rho 555130000;rho 555140000;rho 555150000;rho 555160000;rho 555170000;rho 555180000;rho 555190000;rho 555200000;rho 555210000;rho 555220000;rho 555230000;rho 555240000;rho 555250000;rho 555260000;rho 555270000;rho 555280000;rho 555290000;rho 555300000;rho 555310000;rho 555320000;rho 555330000;rho 555340000;rho 555350000;rho 555360000;rho 555370000;rho 555380000;rho 555390000;rho 555400000;rho 555410000;rho 555420000;rho 555430000;rho 555440000;rho 555450000;rho 555460000;rho 555470000;rho 555480000;rho 555490000;rho 555500000
0.000000e+00;1.551000e+07;1.551000e+07;1.551000e+07;1.551000e+07;1.551000e+07;1.551000e+07;1.551000e+07;1.551000e+07;1.551000e+07;1.551000e+07;1.551000e+07;1.551000e+07;1.551000e+07;1.551000e+07;1.551000e+07;1.551000e+07;1.551000e+07;1.551000e+07;1.551000e+07;1.551000e+07;1.551000e+07;1.551000e+07;1.551000e+07;1.551000e+07;1.551000e+07;1.551000e+07;1.551000e+07;1.551000e+07;1.551000e+07;1.551000e+07;1.551000e+07;1.551000e+07;1.551000e+07;1.551000e+07;1.551000e+07;1.551000e+07;1.551000e+07;1.551000e+07;1.551000e+07;1.551000e+07;1.551000e+07;1.551000e+07;1.551000e+07;1.551000e+07;1.551000e+07;1.551000e+07;1.551000e+07;1.551000e+07;1.551000e+07;1.551000e+07;5.662500e+02;5.662500e+02;5.662500e+02;5.662500e+02;5.662500e+02;5.662500e+02;5.662500e+02;5.662500e+02;5.662500e+02;5.662500e+02;5.662500e+02;5.662500e+02;5.662500e+02;5.662500e+02;5.662500e+02;5.662500e+02;5.662500e+02;5.662500e+02;5.662500e+02;5.662500e+02;5.662500e+02;5.662500e+02;5.662500e+02;5.662500e+02;5.662500e+02;5.662500e+02;5.662500e+02;5.662500e+02;5.662500e+02;5.662500e+02;5.662500e+02;5.662500e+02;5.662500e+02;5.662500e+02;5.662500e+02;5.662500e+02;5.662500e+02;5.662500e+02;5.662500e+02;5.662500e+02;5.662500e+02;5.662500e+02;5.662500e+02;5.662500e+02;5.662500e+02;5.662500e+02;5.662500e+02;5.662500e+02;5.662500e+02;5.662500e+02;7.403099e+02;7.403099e+02;7.403099e+02;7.403099e+02;7.403099e+02;7.403099e+02;7.403099e+02;7.403099e+02;7.403099e+02;7.403099e+02;7.403099e+02;7.403099e+02;7.403099e+02;7.403099e+02;7.403099e+02;7.403099e+02;7.403099e+02;7.403099e+02;7.403099e+02;7.403099e+02;7.403099e+02;7.403099e+02;7.403099e+02;7.403099e+02;7.403099e+02;7.403099e+02;7.403099e+02;7.403099e+02;7.403099e+02;7.403099e+02;7.403099e+02;7.403099e+02;7.403099e+02;7.403099e+02;7.403099e+02;7.403099e+02;7.403099e+02;7.403099e+02;7.403099e+02;7.403099e+02;7.403099e+02;7.403099e+02;7.403099e+02;7.403099e+02;7.403099e+02;7.403099e+02;7.403099e+02;7.403099e+02;7.403099e+02;7.403099e+02
5.001979e-01;1.539761e+07;1.539609e+07;1.539457e+07;1.539306e+07;1.539154e+07;1.539002e+07;1.538851e+07;1.538699e+07;1.538548e+07;1.538396e+07;1.538244e+07;1.538093e+07;1.537941e+07;1.537790e+07;1.537638e+07;1.537486e+07;1.537335e+07;1.537183e+07;1.537032e+07;1.536880e+07;1.536728e+07;1.536577e+07;1.536425e+07;1.536274e+07;1.536122e+07;1.535970e+07;1.535819e+07;1.535667e+07;1.535516e+07;1.535364e+07;1.535212e+07;1.535061e+07;1.534909e+07;1.534758e+07;1.534606e+07;1.534454e+07;1.534303e+07;1.534151e+07;1.534000e+07;1.533848e+07;1.533696e+07;1.533545e+07;1.533393e+07;1.533242e+07;1.533090e+07;1.532938e+07;1.532787e+07;1.532635e+07;1.532483e+07;1.532332e+07;5.662078e+02;5.662075e+02;5.662071e+02;5.662068e+02;5.662064e+02;5.662061e+02;5.662058e+02;5.662054e+02;5.662051e+02;5.662048e+02;5.662045e+02;5.662042e+02;5.662038e+02;5.662035e+02;5.662032e+02;5.662028e+02;5.662025e+02;5.662021e+02;5.662018e+02;5.662015e+02;5.662012e+02;5.662008e+02;5.662005e+02;5.662001e+02;5.661998e+02;5.661994e+02;5.661990e+02;5.661985e+02;5.661981e+02;5.661977e+02;5.661971e+02;5.661967e+02;5.661961e+02;5.661956e+02;5.661950e+02;5.661944e+02;5.661938e+02;5.661932e+02;5.661927e+02;5.661921e+02;5.661915e+02;5.661909e+02;5.661904e+02;5.661898e+02;5.661893e+02;5.661887e+02;5.661882e+02;5.661876e+02;5.661871e+02;5.661866e+02;7.401989e+02;7.401969e+02;7.401949e+02;7.401930e+02;7.401910e+02;7.401891e+02;7.401871e+02;7.401851e+02;7.401832e+02;7.401812e+02;7.401793e+02;7.401772e+02;7.401753e+02;7.401733e+02;7.401714e+02;7.401694e+02;7.401674e+02;7.401655e+02;7.401635e+02;7.401616e+02;7.401596e+02;7.401577e+02;7.401558e+02;7.401538e+02;7.401519e+02;7.401500e+02;7.401482e+02;7.401464e+02;7.401447e+02;7.401430e+02;7.401414e+02;7.401397e+02;7.401382e+02;7.401367e+02;7.401351e+02;7.401337e+02;7.401322e+02;7.401307e+02;7.401293e+02;7.401277e+02;7.401263e+02;7.401248e+02;7.401233e+02;7.401218e+02;7.401202e+02;7.401187e+02;7.401171e+02;7.401155e+02;7.401140e+02;7.401124e+02
1.000198e+00;1.539761e+07;1.539609e+07;1.539457e+07;1.539306e+07;1.539154e+07;1.539002e+07;1.538851e+07;1.538699e+07;1.538548e+07;1.538396e+07;1.538244e+07;1.538093e+07;1.537941e+07;1.537790e+07;1.537638e+07;1.537486e+07;1.537335e+07;1.537183e+07;1.537032e+07;1.536880e+07;1.536728e+07;1.536577e+07;1.536425e+07;1.536274e+07;1.536122e+07;1.535970e+07;1.535819e+07;1.535667e+07;1.535516e+07;1.535364e+07;1.535212e+07;1.535061e+07;1.534909e+07;1.534758e+07;1.534606e+07;1.534454e+07;1.534303e+07;1.534151e+07;1.534000e+07;1.533848e+07;1.533696e+07;1.533545e+07;1.533393e+07;1.533242e+07;1.533090e+07;1.532938e+07;1.532787e+07;1.532635e+07;1.532484e+07;1.532332e+07;5.662078e+02;5.662075e+02;5.662071e+02;5.662068e+02;5.662064e+02;5.662061e+02;5.662058e+02;5.662054e+02;5.662051e+02;5.662048e+02;5.662045e+02;5.662042e+02;5.662038e+02;5.662035e+02;5.662032e+02;5.662028e+02;5.662025e+02;5.662021e+02;5.662018e+02;5.662015e+02;5.662012e+02;5.662009e+02;5.662005e+02;5.662002e+02;5.661999e+02;5.661995e+02;5.661992e+02;5.661989e+02;5.661985e+02;5.661982e+02;5.661979e+02;5.661976e+02;5.661973e+02;5.661969e+02;5.661966e+02;5.661962e+02;5.661959e+02;5.661956e+02;5.661953e+02;5.661949e+02;5.661946e+02;5.661943e+02;5.661940e+02;5.661936e+02;5.661933e+02;5.661929e+02;5.661926e+02;5.661923e+02;5.661920e+02;5.661916e+02;7.401989e+02;7.401969e+02;7.401949e+02;7.401930e+02;7.401910e+02;7.401891e+02;7.401871e+02;7.401851e+02;7.401832e+02;7.401812e+02;7.401793e+02;7.401772e+02;7.401753e+02;7.401733e+02;7.401714e+02;7.401694e+02;7.401674e+02;7.401655e+02;7.401635e+02;7.401616e+02;7.401596e+02;7.401577e+02;7.401556e+02;7.401537e+02;7.401517e+02;7.401498e+02;7.401478e+02;7.401458e+02;7.401439e+02;7.401419e+02;7.401400e+02;7.401380e+02;7.401360e+02;7.401340e+02;7.401321e+02;7.401301e+02;7.401282e+02;7.401262e+02;7.401242e+02;7.401223e+02;7.401203e+02;7.401183e+02;7.401163e+02;7.401144e+02;7.401124e+02;7.401105e+02;7.401085e+02;7.401066e+02;7.401046e+02;7.401027e+02
1.507254e+00;1.539761e+07;1.539609e+07;1.539458e+07;1.539306e+07;1.539154e+07;1.539003e+07;1.538851e+07;1.538700e+07;1.538548e+07;1.538396e+07;1.538245e+07;1.538093e+07;1.537942e+07;1.537790e+07;1.537638e+07;1.537487e+07;1.537335e+07;1.537184e+07;1.537032e+07;1.536880e+07;1.536729e+07;1.536577e+07;1.536426e+07;1.536274e+07;1.536122e+07;1.535971e+07;1.535819e+07;1.535668e+07;1.535516e+07;1.535364e+07;1.535213e+07;1.535061e+07;1.534909e+07;1.534758e+07;1.534606e+07;1.534455e+07;1.534303e+07;1.534151e+07;1.534000e+07;1.533848e+07;1.533697e+07;1.533545e+07;1.533393e+07;1.533242e+07;1.533090e+07;1.532939e+07;1.532787e+07;1.532635e+07;1.532484e+07;1.532332e+07;5.662078e+02;5.662075e+02;5.662071e+02;5.662068e+02;5.662064e+02;5.662061e+02;5.662058e+02;5.662054e+02;5.662051e+02;5.662048e+02;5.662045e+02;5.662042e+02;5.662038e+02;5.662035e+02;5.662032e+02;5.662028e+02;5.662025e+02;5.662021e+02;5.662018e+02;5.662015e+02;5.662012e+02;5.662009e+02;5.662005e+02;5.662002e+02;5.661999e+02;5.661995e+02;5.661992e+02;5.661989e+02;5.661985e+02;5.661982e+02;5.661979e+02;5.661976e+02;5.661973e+02;5.661969e+02;5.661966e+02;5.661962e+02;5.661959e+02;5.661956e+02;5.661953e+02;5.661949e+02;5.661946e+02;5.661943e+02;5.661940e+02;5.661936e+02;5.661933e+02;5.661929e+02;5.661926e+02;5.661923e+02;5.661920e+02;5.661917e+02;7.401989e+02;7.401969e+02;7.401949e+02;7.401930e+02;7.401910e+02;7.401891e+02;7.401871e+02;7.401851e+02;7.401832e+02;7.401812e+02;7.401793e+02;7.401772e+02;7.401753e+02;7.401733e+02;7.401714e+02;7.401694e+02;7.401675e+02;7.401655e+02;7.401635e+02;7.401616e+02;7.401596e+02;7.401577e+02;7.401556e+02;7.401537e+02;7.401517e+02;7.401498e+02;7.401478e+02;7.401458e+02;7.401439e+02;7.401419e+02;7.401400e+02;7.401380e+02;7.401360e+02;7.401340e+02;7.401321e+02;7.401301e+02;7.401282e+02;7.401262e+02;7.401242e+02;7.401223e+02;7.401203e+02;7.401183e+02;7.401163e+02;7.401144e+02;7.401124e+02;7.401105e+02;7.401085e+02;7.401065e+02;7.401046e+02;7.401026e+02
2.004135e+00;1.539761e+07;1.539609e+07;1.539458e+07;1.539306e+07;1.539154e+07;1.539003e+07;1.538851e+07;1.538700e+07;1.538548e+07;1.538396e+07;1.538245e+07;1.538093e+07;1.537942e+07;1.537790e+07;1.537638e+07;1.537487e+07;1.537335e+07;1.537184e+07;1.537032e+07;1.536880e+07;1.536729e+07;1.536577e+07;1.536426e+07;1.536274e+07;1.536122e+07;1.535971e+07;1.535819e+07;1.535668e+07;1.535516e+07;1.535364e+07;1.535213e+07;1.535061e+07;1.534910e+07;1.534758e+07;1.534606e+07;1.534455e+07;1.534303e+07;1.534152e+07;1.534000e+07;1.533848e+07;1.533697e+07;1.533545e+07;1.533394e+07;1.533242e+07;1.533090e+07;1.532939e+07;1.532787e+07;1.532636e+07;1.532484e+07;1.532332e+07;5.662078e+02;5.662075e+02;5.662071e+02;5.662068e+02;5.662065e+02;5.662061e+02;5.662058e+02;5.662054e+02;5.662051e+02;5.662048e+02;5.662045e+02;5.662042e+02;5.662038e+02;5.662035e+02;5.662032e+02;5.662028e+02;5.662025e+02;5.662021e+02;5.662018e+02;5.662015e+02;5.662012e+02;5.662009e+02;5.662005e+02;5.662002e+02;5.661999e+02;5.661995e+02;5.661992e+02;5.661989e+02;5.661985e+02;5.661982e+02;5.661979e+02;5.661976e+02;5.661973e+02;5.661969e+02;5.661966e+02;5.661962e+02;5.661959e+02;5.661956e+02;5.661953e+02;5.661949e+02;5.661946e+02;5.661943e+02;5.661940e+02;5.661936e+02;5.661933e+02;5.661929e+02;5.661926e+02;5.661923e+02;5.661920e+02;5.661917e+02;7.401989e+02;7.401969e+02;7.401949e+02;7.401930e+02;7.401910e+02;7.401891e+02;7.401871e+02;7.401851e+02;7.401832e+02;7.401812e+02;7.401793e+02;7.401772e+02;7.401753e+02;7.401733e+02;7.401714e+02;7.401694e+02;7.401675e+02;7.401655e+02;7.401635e+02;7.401616e+02;7.401596e+02;7.401577e+02;7.401556e+02;7.401537e+02;7.401517e+02;7.401498e+02;7.401478e+02;7.401458e+02;7.401439e+02;7.401419e+02;7.401400e+02;7.401380e+02;7.401360e+02;7.401340e+02;7.401321e+02;7.401301e+02;7.401282e+02;7.401262e+02;7.401242e+02;7.401223e+02;7.401203e+02;7.401183e+02;7.401163e+02;7.401144e+02;7.401124e+02;7.401105e+02;7.401085e+02;7.401065e+02;7.401046e+02;7.401026e+02
2.501017e+00;1.539761e+07;1.539610e+07;1.539458e+07;1.539306e+07;1.539155e+07;1.539003e+07;1.538851e+07;1.538700e+07;1.538548e+07;1.538397e+07;1.538245e+07;1.538093e+07;1.537942e+07;1.537790e+07;1.537639e+07;1.537487e+07;1.537335e+07;1.537184e+07;1.537032e+07;1.536881e+07;1.536729e+07;1.536577e+07;1.536426e+07;1.536274e+07;1.536123e+07;1.535971e+07;1.535819e+07;1.535668e+07;1.535516e+07;1.535365e+07;1.535213e+07;1.535061e+07;1.534910e+07;1.534758e+07;1.534607e+07;1.534455e+07;1.534303e+07;1.534152e+07;1.534000e+07;1.533849e+07;1.533697e+07;1.533545e+07;1.533394e+07;1.533242e+07;1.533090e+07;1.532939e+07;1.532787e+07;1.532636e+07;1.532484e+07;1.532332e+07;5.662078e+02;5.662075e+02;5.662071e+02;5.662068e+02;5.662065e+02;5.662061e+02;5.662058e+02;5.662054e+02;5.662051e+02;5.662048e+02;5.662045e+02;5.662042e+02;5.662038e+02;5.662035e+02;5.662032e+02;5.662028e+02;5.662025e+02;5.662021e+02;5.662018e+02;5.662015e+02;5.662012e+02;5.662009e+02;5.662005e+02;5.662002e+02;5.661999e+02;5.661995e+02;5.661992e+02;5.661989e+02;5.661985e+02;5.661982e+02;5.661979e+02;5.661976e+02;5.661973e+02;5.661969e+02;5.661966e+02;5.661962e+02;5.661959e+02;5.661956e+02;5.661953e+02;5.661949e+02;5.661946e+02;5.661943e+02;5.661940e+02;5.661936e+02;5.661933e+02;5.661929e+02;5.661926e+02;5.661923e+02;5.661920e+02;5.661917e+02;7.401989e+02;7.401969e+02;7.401949e+02;7.401930e+02;7.401910e+02;7.401891e+02;7.401871e+02;7.401851e+02;7.401832e+02;7.401812e+02;7.401793e+02;7.401773e+02;7.401753e+02;7.401733e+02;7.401714e+02;7.401694e+02;7.401675e+02;7.401655e+02;7.401635e+02;7.401616e+02;7.401596e+02;7.401577e+02;7.401556e+02;7.401537e+02;7.401517e+02;7.401498e+02;7.401478e+02;7.401458e+02;7.401439e+02;7.401419e+02;7.401400e+02;7.401380e+02;7.401360e+02;7.401340e+02;7.401321e+02;7.401301e+02;7.401282e+02;7.401262e+02;7.401242e+02;7.401223e+02;7.401203e+02;7.401183e+02;7.401163e+02;7.401144e+02;7.401124e+02;7.401105e+02;7.401085e+02;7.401065e+02;7.401046e+02;7.401026e+02
3.005427e+00;1.539761e+07;1.539610e+07;1.539458e+07;1.539306e+07;1.539155e+07;1.539003e+07;1.538852e+07;1.538700e+07;1.538548e+07;1.538397e+07;1.538245e+07;1.538094e+07;1.537942e+07;1.537790e+07;1.537639e+07;1.537487e+07;1.537336e+07;1.537184e+07;1.537032e+07;1.536881e+07;1.536729e+07;1.536578e+07;1.536426e+07;1.536274e+07;1.536123e+07;1.535971e+07;1.535820e+07;1.535668e+07;1.535516e+07;1.535365e+07;1.535213e+07;1.535062e+07;1.534910e+07;1.534758e+07;1.534607e+07;1.534455e+07;1.534304e+07;1.534152e+07;1.534000e+07;1.533849e+07;1.533697e+07;1.533546e+07;1.533394e+07;1.533242e+07;1.533091e+07;1.532939e+07;1.532788e+07;1.532636e+07;1.532484e+07;1.532333e+07;5.662078e+02;5.662075e+02;5.662071e+02;5.662068e+02;5.662065e+02;5.662061e+02;5.662058e+02;5.662054e+02;5.662051e+02;5.662048e+02;5.662045e+02;5.662042e+02;5.662038e+02;5.662035e+02;5.662032e+02;5.662028e+02;5.662025e+02;5.662021e+02;5.662018e+02;5.662015e+02;5.662012e+02;5.662009e+02;5.662005e+02;5.662002e+02;5.661999e+02;5.661995e+02;5.661992e+02;5.661989e+02;5.661985e+02;5.661982e+02;5.661979e+02;5.661976e+02;5.661973e+02;5.661969e+02;5.661966e+02;5.661962e+02;5.661959e+02;5.661956e+02;5.661953e+02;5.661949e+02;5.661946e+02;5.661943e+02;5.661940e+02;5.661936e+02;5.661933e+02;5.661929e+02;5.661926e+02;5.661923e+02;5.661920e+02;5.661917e+02;7.401989e+02;7.401969e+02;7.401949e+02;7.401930e+02;7.401910e+02;7.401891e+02;7.401871e+02;7.401851e+02;7.401832e+02;7.401812e+02;7.401793e+02;7.401773e+02;7.401753e+02;7.401733e+02;7.401714e+02;7.401694e+02;7.401675e+02;7.401655e+02;7.401635e+02;7.401616e+02;7.401596e+02;7.401577e+02;7.401556e+02;7.401537e+02;7.401517e+02;7.401498e+02;7.401478e+02;7.401458e+02;7.401439e+02;7.401419e+02;7.401400e+02;7.401380e+02;7.401360e+02;7.401340e+02;7.401321e+02;7.401301e+02;7.401282e+02;7.401262e+02;7.401242e+02;7.401223e+02;7.401203e+02;7.401183e+02;7.401163e+02;7.401144e+02;7.401124e+02;7.401105e+02;7.401085e+02;7.401065e+02;7.401046e+02;7.401026e+02
3.502308e+00;1.539762e+07;1.539610e+07;1.539458e+07;1.539307e+07;1.539155e+07;1.539003e+07;1.538852e+07;1.538700e+07;1.538549e+07;1.538397e+07;1.538245e+07;1.538094e+07;1.537942e+07;1.537791e+07;1.537639e+07;1.537487e+07;1.537336e+07;1.537184e+07;1.537033e+07;1.536881e+07;1.536729e+07;1.536578e+07;1.536426e+07;1.536275e+07;1.536123e+07;1.535971e+07;1.535820e+07;1.535668e+07;1.535516e+07;1.535365e+07;1.535213e+07;1.535062e+07;1.534910e+07;1.534758e+07;1.534607e+07;1.534455e+07;1.534304e+07;1.534152e+07;1.534000e+07;1.533849e+07;1.533697e+07;1.533546e+07;1.533394e+07;1.533242e+07;1.533091e+07;1.532939e+07;1.532788e+07;1.532636e+07;1.532484e+07;1.532333e+07;5.662078e+02;5.662075e+02;5.662071e+02;5.662068e+02;5.662065e+02;5.662061e+02;5.662058e+02;5.662054e+02;5.662051e+02;5.662048e+02;5.662045e+02;5.662042e+02;5.662038e+02;5.662035e+02;5.662032e+02;5.662028e+02;5.662025e+02;5.662021e+02;5.662018e+02;5.662015e+02;5.662012e+02;5.662009e+02;5.662005e+02;5.662002e+02;5.661999e+02;5.661995e+02;5.661992e+02;5.661989e+02;5.661985e+02;5.661982e+02;5.661979e+02;5.661976e+02;5.661973e+02;5.661969e+02;5.661966e+02;5.661962e+02;5.661959e+02;5.661956e+02;5.661953e+02;5.661949e+02;5.661946e+02;5.661943e+02;5.661940e+02;5.661936e+02;5.661933e+02;5.661929e+02;5.661926e+02;5.661923e+02;5.661920e+02;5.661917e+02;7.401989e+02;7.401969e+02;7.401949e+02;7.401930e+02;7.401910e+02;7.401891e+02;7.401871e+02;7.401851e+02;7.401832e+02;7.401812e+02;7.401793e+02;7.401773e+02;7.401753e+02;7.401733e+02;7.401714e+02;7.401694e+02;7.401675e+02;7.401655e+02;7.401635e+02;7.401616e+02;7.401596e+02;7.401577e+02;7.401556e+02;7.401537e+02;7.401517e+02;7.401498e+02;7.401478e+02;7.401458e+02;7.401439e+02;7.401419e+02;7.401400e+02;7.401380e+02;7.401360e+02;7.401340e+02;7.401321e+02;7.401301e+02;7.401282e+02;7.401262e+02;7.401242e+02;7.401223e+02;7.401203e+02;7.401183e+02;7.401163e+02;7.401144e+02;7.401124e+02;7.401105e+02;7.401085e+02;7.401065e+02;7.401046e+02;7.401026e+02
4.006718e+00;1.539762e+07;1.539610e+07;1.539458e+07;1.539307e+07;1.539155e+07;1.539004e+07;1.538852e+07;1.538700e+07;1.538549e+07;1.538397e+07;1.538246e+07;1.538094e+07;1.537942e+07;1.537791e+07;1.537639e+07;1.537488e+07;1.537336e+07;1.537184e+07;1.537033e+07;1.536881e+07;1.536730e+07;1.536578e+07;1.536426e+07;1.536275e+07;1.536123e+07;1.535972e+07;1.535820e+07;1.535668e+07;1.535517e+07;1.535365e+07;1.535214e+07;1.535062e+07;1.534910e+07;1.534759e+07;1.534607e+07;1.534456e+07;1.534304e+07;1.534152e+07;1.534001e+07;1.533849e+07;1.533698e+07;1.533546e+07;1.533394e+07;1.533243e+07;1.533091e+07;1.532940e+07;1.532788e+07;1.532636e+07;1.532485e+07;1.532333e+07;5.662078e+02;5.662075e+02;5.662071e+02;5.662068e+02;5.662065e+02;5.662061e+02;5.662058e+02;5.662054e+02;5.662051e+02;5.662048e+02;5.662045e+02;5.662042e+02;5.662038e+02;5.662035e+02;5.662032e+02;5.662028e+02;5.662025e+02;5.662021e+02;5.662018e+02;5.662015e+02;5.662012e+02;5.662009e+02;5.662006e+02;5.662002e+02;5.661999e+02;5.661995e+02;5.661992e+02;5.661989e+02;5.661985e+02;5.661982e+02;5.661979e+02;5.661976e+02;5.661973e+02;5.661969e+02;5.661966e+02;5.661962e+02;5.661959e+02;5.661956e+02;5.661953e+02;5.661949e+02;5.661946e+02;5.661943e+02;5.661940e+02;5.661936e+02;5.661933e+02;5.661929e+02;5.661926e+02;5.661923e+02;5.661920e+02;5.661917e+02;7.401989e+02;7.401969e+02;7.401949e+02;7.401930e+02;7.401910e+02;7.401891e+02;7.401871e+02;7.401851e+02;7.401832e+02;7.401812e+02;7.401793e+02;7.401773e+02;7.401753e+02;7.401733e+02;7.401714e+02;7.401694e+02;7.401675e+02;7.401655e+02;7.401635e+02;7.401616e+02;7.401596e+02;7.401577e+02;7.401556e+02;7.401537e+02;7.401517e+02;7.401498e+02;7.401478e+02;7.401458e+02;7.401439e+02;7.401419e+02;7.401400e+02;7.401380e+02;7.401360e+02;7.401340e+02;7.401321e+02;7.401301e+02;7.401282e+02;7.401262e+02;7.401242e+02;7.401223e+02;7.401203e+02;7.401183e+02;7.401163e+02;7.401144e+02;7.401124e+02;7.401105e+02;7.401085e+02;7.401065e+02;7.401046e+02;7.401026e+02
4.503600e+00;1.539762e+07;1.539610e+07;1.539458e+07;1.539307e+07;1.539155e+07;1.539004e+07;1.538852e+07;1.538700e+07;1.538549e+07;1.538397e+07;1.538246e+07;1.538094e+07;1.537942e+07;1.537791e+07;1.537639e+07;1.537488e+07;1.537336e+07;1.537184e+07;1.537033e+07;1.536881e+07;1.536730e+07;1.536578e+07;1.536426e+07;1.536275e+07;1.536123e+07;1.535972e+07;1.535820e+07;1.535668e+07;1.535517e+07;1.535365e+07;1.535214e+07;1.535062e+07;1.534910e+07;1.534759e+07;1.534607e+07;1.534456e+07;1.534304e+07;1.534152e+07;1.534001e+07;1.533849e+07;1.533698e+07;1.533546e+07;1.533394e+07;1.533243e+07;1.533091e+07;1.532940e+07;1.532788e+07;1.532636e+07;1.532485e+07;1.532333e+07;5.662078e+02;5.662075e+02;5.662071e+02;5.662068e+02;5.662065e+02;5.662061e+02;5.662058e+02;5.662054e+02;5.662051e+02;5.662048e+02;5.662045e+02;5.662042e+02;5.662038e+02;5.662035e+02;5.662032e+02;5.662028e+02;5.662025e+02;5.662021e+02;5.662018e+02;5.662015e+02;5.662012e+02;5.662009e+02;5.662006e+02;5.662002e+02;5.661999e+02;5.661995e+02;5.661992e+02;5.661989e+02;5.661985e+02;5.661982e+02;5.661979e+02;5.661976e+02;5.661973e+02;5.661969e+02;5.661966e+02;5.661962e+02;5.661959e+02;5.661956e+02;5.661953e+02;5.661949e+02;5.661946e+02;5.661943e+02;5.661940e+02;5.661936e+02;5.661933e+02;5.661929e+02;5.661926e+02;5.661923e+02;5.661920e+02;5.661917e+02;7.401989e+02;7.401969e+02;7.401949e+02;7.401930e+02;7.401910e+02;7.401891e+02;7.401871e+02;7.401851e+02;7.401832e+02;7.401812e+02;7.401793e+02;7.401773e+02;7.401753e+02;7.401733e+02;7.401714e+02;7.401694e+02;7.401675e+02;7.401655e+02;7.401635e+02;7.401616e+02;7.401596e+02;7.401577e+02;7.401557e+02;7.401537e+02;7.401517e+02;7.401498e+02;7.401478e+02;7.401459e+02;7.401439e+02;7.401419e+02;7.401400e+02;7.401380e+02;7.401360e+02;7.401340e+02;7.401321e+02;7.401301e+02;7.401282e+02;7.401262e+02;7.401242e+02;7.401223e+02;7.401203e+02;7.401183e+02;7.401163e+02;7.401144e+02;7.401124e+02;7.401105e+02;7.401085e+02;7.401065e+02;7.401046e+02;7.401026e+02
